Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.312750697,0.317757934,0.275195897,0.134667531,0.257903278,0.202105045,0.172988951,0.13384673,0.476621479,0.259934455,0.388499826,0.45245105,-8.401573162,-11.50441173,-10.3273344,-9.255182417,-9.617554912,-9.032281883,-5.192906954,-11.73415252,-9.919529617,-4.996935914,-10.79526599,-8.385892559,-5.829075542,-7.181358927,-4.647733991,-21.04851804,-21.67665841,-20.57826815,-21.19292666,-17.52833638,-16.77151352,-15.06103965,-16.66133338,-17.88235873,-14.70919266,-15.04283921,-18.80616347,-19.11812385,-20.5782492,-14.04133261
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.213918328,0.265813172,0.214775354,0.104085848,0.199083403,0.177379623,0.256738275,0.178571954,0.632538617,0.290193737,0.367260516,0.367260516,-10.15265472,-7.715151525,-7.715267012,-8.042815314,-6.931758396,-7.076338065,-7.767062173,-9.363671967,-9.078533535,-6.332146201,-8.191569549,-9.206459014,-3.988191052,-9.998565119,-6.258466678,-20.46839055,-18.83391949,-22.9361489,-15.61711915,-15.24026155,-17.15627726,-22.12034358,-17.5496694,-16.53102947,-14.5430631,-17.08583883,-14.88671865,-14.66677462,-9.865899545,-13.56154177
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.257221848,0.32533142,0.205218464,0.097107098,0.208405495,0.212414131,0.329286903,0.170192525,0.654169619,0.306744516,0.345311701,0.087905139,-10.15265472,-9.835158348,-7.715267012,-8.042815314,-6.851809429,-7.897897756,-7.1582485,-8.713574598,-9.078533535,-6.332146201,-8.191569549,-9.206459014,-3.988191052,-6.440432857,-5.382229628,-20.46839055,-17.35302909,-22.9361489,-15.61711915,-17.34571805,-17.35667757,-21.35264732,-20.01586519,-16.53102947,-14.5430631,-17.08583883,-14.88671865,-14.66677462,-10.57776747,-12.47398943
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.343733788,0.364543229,0.288609743,0.126584098,0.250211149,0.220845476,0.133142829,0.139106452,0.537973762,0.287892193,0.381452173,0.546521068,-9.379272532,-7.919189067,-7.831003168,-6.030341106,-10.29575036,-8.660671044,-10.03595186,-10.17367218,-7.561280483,-7.386455003,-10.11966446,-8.48595854,-8.686746681,-5.326145969,-8.026872738,-22.51883065,-17.74121721,-18.56366204,-13.95822781,-16.42248472,-15.51112143,-18.81396495,-15.30950915,-14.14375205,-17.18656782,-19.82236275,-15.33244257,-14.05806721,-15.06262116,-11.40524686
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.247073263,0.290098011,0.432909518,0.254300654,0.423152208,0.261310011,0.096061163,0.150484815,0.465829253,0.267525285,0.327085376,0.45891127,-14.86365569,-11.05266664,-12.66504538,-13.0637441,-9.796719682,-11.58716876,-11.85604035,-10.52826556,-9.373575797,-10.25812337,-11.47275723,-13.08849511,-12.36735511,-13.81532878,-11.65475311,-21.99418192,-17.67813561,-17.03596978,-17.35892414,-17.29120148,-18.59731924,-14.31241816,-13.99084106,-14.34000742,-16.55158766,-17.56604408,-21.52316496,-16.15808944,-18.89970872,-15.08438969
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.247073263,0.290098011,0.432909518,0.254300654,0.423152208,0.261310011,0.096061163,0.150484815,0.465829253,0.267525285,0.327085376,0.45891127,-11.60652901,-11.05266664,-12.20989737,-13.0637441,-9.796719682,-11.58716876,-11.85604035,-10.52826556,-12.14937828,-10.25812337,-11.47275723,-14.07588707,-9.229955031,-9.651668386,-11.43799891,-16.50502211,-17.67813561,-15.75468636,-17.35892414,-17.29120148,-18.59731924,-14.31241816,-13.99084106,-13.34757868,-16.55158766,-17.56604408,-18.65242404,-16.17745711,-17.10989788,-14.83160496
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.153392941,0.216116071,0.150961399,0.098773234,0.170931727,0.188417405,0.058562074,0.143960387,0.411812037,0.140496358,0.363529682,0.472567052,-9.250662137,-12.22538602,-9.877788515,-8.717578919,-12.19686203,-10.16161785,-7.886903018,-8.873982829,-12.04172974,-5.632321066,-5.249755838,-9.067593527,-10.52773682,-8.953984571,-6.049301127,-19.89186912,-18.9491766,-16.96776952,-20.21455901,-16.11879737,-16.6108762,-20.06093197,-15.91024947,-16.36816129,-14.85355355,-18.09845163,-22.84383795,-17.87810652,-20.08732112,-13.99337721
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.233053342,0.287082553,0.243993044,0.366311103,0.325623661,0.247695535,0.057516601,0.123743534,0.493561208,0.236383826,0.348486125,0.525461197,-9.413072522,-9.003059372,-9.443922049,-5.597589439,-12.75697762,-10.39733465,-8.499786966,-10.25317349,-12.80420018,-6.109653116,-7.441213423,-14.83186191,-8.851017255,-10.93105441,-11.70470965,-16.70559193,-19.32269363,-16.41838312,-14.47648938,-19.12845363,-20.86656866,-19.95075723,-17.03981421,-16.2763971,-14.32275236,-14.42451836,-18.01141668,-12.83797943,-17.33701921,-13.84317796
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.171570987,0.208602011,0.24029915,0.234089687,0.255170971,0.205327898,0.057526279,0.130854502,0.307112902,0.146242768,0.354448408,0.494831443,-8.712467406,-10.79450945,-9.443922049,-5.597589439,-12.75697762,-10.88340201,-8.499786966,-10.25317349,-12.80420018,-6.109653116,-7.441213423,-14.44491766,-8.851017255,-10.93105441,-11.70470965,-19.4803924,-20.53145682,-16.41838312,-14.47648938,-19.12845363,-18.30797862,-19.95075723,-17.03981421,-16.2763971,-14.32275236,-14.42451836,-16.23964712,-12.83797943,-17.33701921,-13.84317796
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.25857085,0.223681718,0.223858118,0.294905961,0.255080223,0.283821881,0.115713716,0.161445767,0.645287871,0.297913313,0.335537493,0.335537493,-10.18875832,-9.855086301,-10.32873857,-12.63078892,-12.02997208,-12.33381494,-13.46738073,-11.48970843,-11.50460847,-5.212259946,-6.897054984,-9.563753674,-5.410304961,-10.38728876,-6.983866612,-17.29778812,-17.84404884,-18.80458385,-16.36804036,-16.76843895,-18.39995029,-15.56766713,-13.68417733,-17.62216566,-12.76561535,-17.60829938,-20.16478634,-10.27742899,-11.27876726,-14.28436129
